sales_id,date_id,customer_id,location_id,product_id,Quantity,Unit Cost,Unit Price,Cost,Revenue
0,1,1,1,1,1,80,109,80,109
1,2,1,1,2,2,24.5,28.5,49,57
2,3,1,1,1,3,3.67,5,11,15
3,4,1,1,1,2,87.5,116.5,175,233
4,4,1,1,1,3,35,41.666667,105,125
5,5,1,1,1,1,66,78,66,78
6,6,1,1,1,2,52,60,104,120
7,6,1,1,1,1,60,68,60,68
8,7,1,1,1,2,8,10,16,20
9,7,1,1,1,2,2.5,3,5,6
10,8,1,1,3,2,17.5,21,35,42
11,9,1,1,1,3,40,48.666667,120,146
12,10,1,1,1,2,46,60,92,120
13,10,1,1,1,1,9,10,9,10
14,11,1,1,3,3,151.67,181.333333,455,544
15,12,1,1,1,3,70,72.666667,210,218
16,13,1,1,1,1,385,439,385,439
17,13,1,1,1,2,72.5,86.5,145,173
18,13,1,1,3,3,210,212.666667,630,638
19,14,1,1,1,1,64,74,64,74
20,14,1,1,3,3,326.67,359.666667,980,1079
21,15,1,1,1,1,125,136,125,136
22,15,1,1,3,2,17.5,18,35,36
23,15,1,1,1,2,215,226,430,452
24,15,1,1,1,3,22,23,66,69
25,16,1,1,1,1,750,820,750,820
26,17,1,1,1,2,60,70.5,120,141
27,17,1,1,1,1,125,130,125,130
28,17,1,1,3,1,140,143,140,143
29,18,1,1,1,2,192.5,213.5,385,427
30,18,1,1,1,3,38.33,43.333333,115,130
31,18,1,1,3,3,151.67,170,455,510
32,19,1,1,1,1,56,65,56,65
33,19,1,1,1,3,108.67,123.666667,326,371
34,19,1,1,1,3,14.67,15,44,45
35,20,1,1,3,2,280,269,560,538
36,21,1,1,1,2,293.5,320.5,587,641
37,21,1,1,1,2,2,2,4,4
38,21,1,1,3,1,420,472,420,472
39,22,1,1,1,2,275.5,303,551,606
40,22,1,1,1,1,120,120,120,120
41,22,1,1,3,1,630,624,630,624
42,23,1,1,1,2,32.5,36,65,72
43,23,1,1,1,3,338.33,389.333333,1015,1168
44,23,1,1,1,3,10.67,11,32,33
45,24,1,1,1,3,36.67,41.666667,110,125
46,24,1,1,3,2,245,249.5,490,499
47,25,2,2,4,1,636,677,636,677
48,26,2,2,4,3,159,170.666667,477,512
49,27,3,2,5,1,769,875,769,875
50,28,3,2,5,1,2295,2242,2295,2242
51,29,3,2,5,1,769,776,769,776
52,17,3,2,5,2,1160,1005,2320,2010
53,30,3,2,5,1,2295,2303,2295,2303
54,31,4,3,6,2,797.5,813,1595,1626
55,32,5,1,5,3,180,188.333333,540,565
56,33,5,1,5,1,2320,2160,2320,2160
57,34,5,2,7,3,100,117.666667,300,353
58,35,5,2,7,1,750,985,750,985
59,36,5,2,7,3,133.33,164.333333,400,493
60,37,5,2,8,3,88,95.333333,264,286
61,38,5,2,7,2,300,384,600,768
62,39,5,2,7,3,133.33,161,400,483
63,40,5,2,7,2,594,569.5,1188,1139
64,41,5,2,7,2,75,79.5,150,159
65,42,5,2,9,2,99.5,126,199,252
66,43,4,2,3,3,46.67,51.666667,140,155
67,44,4,2,3,1,175,218,175,218
68,45,4,2,3,2,52.5,60,105,120
69,46,4,2,3,2,122.5,139.5,245,279
70,47,4,2,3,1,420,458,420,458
71,8,6,1,10,3,45,52.666667,135,158
72,48,6,1,10,2,27,30.5,54,61
73,49,7,2,5,1,2295,2146,2295,2146
74,50,7,2,5,1,2320,2030,2320,2030
75,51,7,2,5,1,2295,1884,2295,1884
76,52,8,1,11,1,216,228,216,228
77,53,9,2,4,3,530,529.333333,1590,1588
78,54,9,2,4,1,1113,1297,1113,1297
79,55,10,3,5,1,769,873,769,873
80,56,10,3,12,3,247.33,250.333333,742,751
81,57,10,3,5,1,2320,2340,2320,2340
82,58,10,3,5,2,384.5,353.5,769,707
83,59,10,3,5,1,2320,2340,2320,2340
84,23,10,3,5,1,2320,2095,2320,2095
85,60,11,2,4,2,477,524.5,954,1049
86,61,10,2,6,3,165,186.333333,495,559
87,2,10,2,6,3,256.67,334.333333,770,1003
88,62,10,2,6,1,715,752,715,752
89,63,8,1,13,1,120,156,120,156
90,64,8,1,13,1,85,108,85,108
91,65,8,1,13,2,105,136,210,272
92,52,8,1,13,1,65,67,65,67
93,52,8,1,13,2,125,143.5,250,287
94,52,8,1,7,3,414,437.666667,1242,1313
95,66,8,1,7,2,486,535.5,972,1071
96,67,8,1,13,2,25,26.5,50,53
97,68,8,1,13,1,189,179,189,179
98,68,8,1,13,3,6.67,7,20,21
99,30,8,1,7,1,150,159,150,159
100,58,8,1,5,2,1147.5,1077,2295,2154
101,52,8,1,5,3,765,712.333333,2295,2137
102,63,4,2,1,1,96,105,96,105
103,69,4,2,1,1,100,113,100,113
104,70,4,2,1,2,24,28,48,56
105,45,4,2,1,2,30,35.5,60,71
106,71,4,2,1,1,50,54,50,54
107,72,4,2,1,2,70,92.5,140,185
108,72,4,2,1,1,40,48,40,48
109,59,4,2,1,3,290,341,870,1023
110,59,4,2,1,3,1.67,2,5,6
111,59,4,2,1,3,0.67,0.666667,2,2
112,73,4,2,1,3,83.33,86.333333,250,259
113,73,4,2,1,1,27,29,27,29
114,74,4,2,1,3,163.33,173.333333,490,520
115,74,4,2,1,2,42.5,47,85,94
116,74,4,2,1,2,18.5,20.5,37,41
117,75,4,2,1,3,5,5.666667,15,17
118,75,4,2,1,1,1050,1111,1050,1111
119,76,7,2,3,3,23.33,29.333333,70,88
120,77,7,2,3,1,105,131,105,131
121,3,7,2,3,3,11.67,13.333333,35,40
122,78,7,2,3,1,910,928,910,928
123,79,7,2,3,3,35,37.666667,105,113
124,80,3,1,5,2,1147.5,1106.5,2295,2213
125,80,3,1,6,1,440,509,440,509
126,80,2,3,5,1,2295,2115,2295,2115
127,80,2,3,13,1,230,250,230,250
128,80,2,3,13,3,5,5,15,15
129,58,12,1,5,1,2295,2218,2295,2218
130,81,13,1,14,1,64,61,64,61
131,82,13,3,5,1,2320,2155,2320,2155
132,83,13,3,5,3,256.33,256.333333,769,769
133,84,13,2,6,1,825,959,825,959
134,85,13,2,6,3,128.33,141.666667,385,425
135,86,13,2,6,3,238.33,268,715,804
136,87,13,2,6,2,302.5,337.5,605,675
137,88,14,2,5,1,769,815,769,815
138,89,14,2,5,3,683,602.666667,2049,1808
139,90,14,2,5,1,2295,2297,2295,2297
140,91,14,2,5,3,773.33,682,2320,2046
141,92,9,2,14,1,191,237,191,237
142,93,9,2,14,2,32,29,64,58
143,94,9,2,14,3,508,575,1524,1725
144,95,15,1,10,1,207,265,207,265
145,96,16,2,6,1,330,413,330,413
146,97,16,2,6,2,82.5,88.5,165,177
147,98,16,2,6,2,55,63.5,110,127
148,99,17,2,2,2,343,359,686,718
149,100,18,1,1,1,210,271,210,271
150,32,18,1,1,2,35,45.5,70,91
151,32,18,1,1,2,20,23.5,40,47
152,101,18,1,1,3,20,22,60,66
153,101,18,1,1,2,385,495.5,770,991
154,101,18,1,1,3,5.33,7.666667,16,23
155,65,18,1,1,2,58,65,116,130
156,65,18,1,3,2,455,578,910,1156
157,102,18,1,1,2,30,36,60,72
158,102,18,1,1,3,12.33,15.666667,37,47
159,103,18,1,1,1,420,442,420,442
160,48,18,1,1,1,52,59,52,59
161,104,18,2,1,3,35,42.333333,105,127
162,104,18,2,1,1,35,42,35,42
163,105,18,2,1,2,18,24,36,48
164,105,18,2,1,2,32,41,64,82
165,106,18,2,1,2,40,47.5,80,95
166,106,18,2,1,3,290,340,870,1020
167,107,18,2,1,1,20,28,20,28
